Listings & Search,Mark as sold,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,
Listings & Search,Archive listings,Yes,Unknown,Yes,Unknown,Unknown,,
Listings & Search,Republish listing,Yes,Unknown,Yes,Unknown,Unknown,,
Real Estate depth,Apartments / houses / land,Yes,Yes,Yes,Yes,Yes,No,No,
Real Estate depth,Commercial property,Yes,Yes,Yes,Yes,Yes,No,No,
Real Estate depth,Dushanbe district filters,Yes,Yes,Yes detailed,Unknown,Partial,,
Real Estate depth,Daily / short-term rent,Yes,Partial,Yes,Unknown,Yes,No,No,
Real Estate depth,Date range calendar,No,No,Yes,No,No,No,No,
Real Estate depth,Mortgage calculator,No,No,Yes,No,No,No,No,
Real Estate depth,Price per sqm benchmarks,No,No,Yes,No,No,No,No,
Real Estate depth,Fair price badge,No,No,Yes,No,No,No,No,
Real Estate depth,New developments / residential complexes,No,No,Yes,No,No,No,No,
Real Estate depth,Developer pages,No,No,Yes,No,No,No,No,
Real Estate depth,SEO landing pages for RE,Yes,Partial,Yes,Yes,No,No,No,
Real Estate depth,Compare apartments,No,Yes,Yes,No,No,No,No,
Auto,Passenger cars,Yes,Yes,Yes,Yes,Yes,Yes new only,No,
Auto,Parts / tires,Yes,Yes,Yes,Yes,Yes,Yes,No,
Auto,Brand / model catalog,Yes,Yes,Yes,Unknown,Yes,,
Auto,Credit from X somoni per month,Yes,No,No,No,No,Yes Salom,Yes,
Communication,In-app chat,Yes,Yes,Yes realtime,Yes WebSocket,Yes,Yes,Yes,
Communication,WhatsApp button,Yes,Unknown,Yes,Unknown,Yes,No,No,
Communication,Telegram button,Partial,Unknown,Yes,Unknown,Yes,No,No,
Communication,Hidden phone reveal,Yes,Yes,Yes,Unknown,Yes,,
Communication,Push notifications,Yes,Planned,No,Planned,Yes,Yes,Yes,
Communication,Telegram bot / community,No,Yes Community,No,No,Yes,No,No,
Trust & Safety,Listing moderation,Yes,Unknown,Yes strong,Planned,Weak,Yes,Yes,
Trust & Safety,Report listing,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,
Trust & Safety,Appeal rejected listing,No,No,Yes,No,No,,
Trust & Safety,Email verification,Partial,Unknown,Yes,Unknown,Unknown,Yes,Yes,
Trust & Safety,Phone verification,Yes,Unknown,No,Unknown,Yes,Yes,Yes,
Trust & Safety,Business / Premium account,Yes,Yes,Yes,No,No,Yes,Yes,
Trust & Safety,Seller reviews,Yes,Unknown,Yes,No,No,Yes,Yes,
Trust & Safety,Safe deal / escrow,No,No,No,No,No,Partial,Partial,
Trust & Safety,Anti-fraud / user blocking,Yes,Unknown,Yes,Unknown,No,Yes,Yes,
Monetization,VIP / TOP listings,Yes,Premium/VIP,Yes VIP/TOP,Planned,No,No,No,
Monetization,Paid bump / refresh,Yes,Yes,Yes bump,No,No,No,No,
Monetization,Auto-bump for business,Yes,Unknown,Yes,No,No,No,No,
Monetization,Platform wallet,No,No,Yes TJS,No,No,Yes,Yes,
Monetization,Ad slots / banners,Yes,Planned,Yes,Planned,No,Yes,Yes,
Monetization,Sales commission,No,No,No,No,No,Yes,Yes,
Monetization,Free for end users,Partial,Yes,Partial,Yes,Yes,No,No,
Fintech & Payments,Alif Pay / Alif Mobi,No,No,Yes,No,No,Yes strong,Partial,
Fintech & Payments,Korti Milli online,No,No,Partial via Alif,No,No,Yes,Yes,
Fintech & Payments,Salom installment,On auto only,No,No,No,No,Yes strong,Yes,
Fintech & Payments,QR payment,No,No,No,No,No,Yes,Yes,
Fintech & Payments,Cash on delivery / meet in person,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Fintech & Payments,Marketplace split-payment,No,No,No,No,No,Partial,No,
Logistics,Own delivery fleet,No,No,No,No,No,Yes,Yes strong,
Logistics,Nationwide delivery,No,No,No,No,No,Yes,Yes,
Logistics,Pickup / meet in person,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Logistics,Order tracking,No,No,No,No,No,Yes,Yes,
Technology,Known tech stack,Proprietary,Kotlin Android,React Express PostgreSQL,Node MongoDB Redis,Flutter Firebase,Proprietary,Proprietary,
Technology,Real-time WebSocket,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Technology,Admin panel,Yes,Unknown,Yes strong,Unknown,No,Yes,Yes,
Technology,Finance / analytics reports,Yes,Unknown,Yes,Unknown,No,Yes,Yes,
Technology,SEO / prerender,Yes,Yes,Yes,Yes,No,Yes,Yes,
Technology,Cookie / privacy consent,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,
Technology,Labor market analytics,Yes strong,No,No,No,No,No,No,
Marketing & Team,National media PR,Yes,Yes,No,No,No,Yes,Yes,
Marketing & Team,Paid ads Meta Google,Yes,Yes strong,No,No,No,Yes,Yes,
Marketing & Team,Mature product team,Yes strong,Yes,Partial,No,Partial,Yes,Yes,
Marketing & Team,Offline business partnerships,Yes,Yes,No,No,No,Yes,Yes,
Marketing & Team,App Store rating,4.9,Unknown,,,,Yes,Yes,
Scorecard,Product score 1-10,7,8,9,5,7,,
Scorecard,Scale score 1-10,10,6,2,2,5,,
Scorecard,Mobile score 1-10,9,8,1,3,8,,
Scorecard,Marketing score 1-10,9,8,2,2,4,,
Scorecard,Fintech score 1-10,3,2,8,1,2,,
Scorecard,Total score of 50,38,32,22,13,26,,
